label,model,n,correct,accuracy_%,miss_hand
A,CustomCNN,150,150,100.0,0
B,CustomCNN,150,0,0.0,0
C,CustomCNN,150,0,0.0,0
D,CustomCNN,150,0,0.0,0
E,CustomCNN,150,0,0.0,0
G,CustomCNN,150,0,0.0,0
H,CustomCNN,150,0,0.0,0
I,CustomCNN,150,0,0.0,0
K,CustomCNN,150,0,0.0,0
L,CustomCNN,150,0,0.0,0
M,CustomCNN,150,0,0.0,0
N,CustomCNN,150,0,0.0,9
O,CustomCNN,150,149,99.33,0
P,CustomCNN,150,0,0.0,0
Q,CustomCNN,150,14,9.33,68
R,CustomCNN,150,1,0.67,0
Râu,CustomCNN,150,150,100.0,0
S,CustomCNN,150,0,0.0,0
T,CustomCNN,150,0,0.0,0
U,CustomCNN,150,0,0.0,0
V,CustomCNN,150,0,0.0,0
X,CustomCNN,150,46,30.67,33
Y,CustomCNN,150,0,0.0,0
mũ,CustomCNN,150,0,0.0,0
Đ,CustomCNN,150,0,0.0,0
A,MobileNetV2,150,150,100.0,0
B,MobileNetV2,150,149,99.33,0
C,MobileNetV2,150,149,99.33,0
D,MobileNetV2,150,87,58.0,0
E,MobileNetV2,150,149,99.33,0
G,MobileNetV2,150,0,0.0,0
H,MobileNetV2,150,0,0.0,0
I,MobileNetV2,150,150,100.0,0
K,MobileNetV2,150,150,100.0,0
L,MobileNetV2,150,150,100.0,0
M,MobileNetV2,150,150,100.0,0
N,MobileNetV2,150,119,79.33,9
O,MobileNetV2,150,150,100.0,0
P,MobileNetV2,150,150,100.0,0
Q,MobileNetV2,150,22,14.67,68
R,MobileNetV2,150,142,94.67,0
Râu,MobileNetV2,150,148,98.67,0
S,MobileNetV2,150,135,90.0,0
T,MobileNetV2,150,146,97.33,0
U,MobileNetV2,150,150,100.0,0
V,MobileNetV2,150,150,100.0,0
X,MobileNetV2,150,117,78.0,33
Y,MobileNetV2,150,150,100.0,0
mũ,MobileNetV2,150,150,100.0,0
Đ,MobileNetV2,150,150,100.0,0
